Pf,Vstp
0.0,0.0
0.33,2.5028823939196374
0.47,3.803107464699421
0.59,4.806429461359151
0.76,5.799330512561738
0.9,6.295522587012246
1.03,6.590871296899981
1.33,6.973416792447776
2.56,7.6080338403279555
3.38,7.813936508078275
4.44,8.007582251913512
5.69,8.17553039288362
6.03,8.221278684791056
6.48,8.275847231773648
6.56,8.289052622647745
6.79,8.342580050371986
6.86,8.449581265015587
7.02,8.54965184384685
7.27,8.630342243696806
7.51,8.679295573695823
8.27,8.76117338590835
