V_offset(V),f_res1(kHz),f_res2(kHz),f_res3(kHz),f_res_avg(kHz)
-3.0,97.0,95.0,95.9,95.967
-2.5,138.1,137.5,137.4,137.667
-2.0,181.6,180.7,182.4,181.567
-1.5,225.5,224.1,224.1,224.567
-1.0,267.0,266.8,267.1,266.967
-0.5,308.4,308.7,308.0,308.367
-0.25,329.0,329.3,329.1,329.133
0.0,348.8,348.6,348.6,348.667
0.1,357.1,357.1,356.9,357.033
0.5,390.9,390.5,391.2,390.867
1.0,433.5,433.8,433.7,433.667
