Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.2881e-01,0.0511906
1.2884e-01,0.0498719
1.2887e-01,0.0487125
1.2890e-01,0.0487031
1.2894e-01,0.0494531
1.2897e-01,0.0477031
1.2900e-01,0.0471156
1.2903e-01,0.0455062
1.2906e-01,0.0452969
1.2910e-01,0.0455844
1.2913e-01,0.0440781
1.2916e-01,0.0455375
1.2919e-01,0.044575
1.2922e-01,0.044125
1.2926e-01,0.0429
1.2929e-01,0.0421594
1.2932e-01,0.0409812
1.2935e-01,0.0407656
1.2938e-01,0.0412312
1.2942e-01,0.0390219
1.2945e-01,0.0383812
1.2948e-01,0.0383375
1.2951e-01,0.03915
1.2954e-01,0.0388875
1.2958e-01,0.0378094
1.2961e-01,0.0344937
1.2964e-01,0.0349781
1.2967e-01,0.0341031
1.2970e-01,0.0331187
1.2974e-01,0.032875
1.2977e-01,0.0311969
1.2980e-01,0.0317531
1.2983e-01,0.0323375
1.2986e-01,0.0315531
1.2990e-01,0.0309937
1.2993e-01,0.0313469
1.2996e-01,0.0293625
1.2999e-01,0.0303656
1.3002e-01,0.02945
1.3006e-01,0.0289156
1.3009e-01,0.0276
1.3012e-01,0.0266
1.3015e-01,0.0269625
1.3018e-01,0.0262
1.3022e-01,0.0255406
1.3025e-01,0.0263812
1.3028e-01,0.0253562
1.3031e-01,0.0259687
1.3034e-01,0.0268906
1.3038e-01,0.0270312
1.3041e-01,0.0280656
1.3044e-01,0.0272812
1.3047e-01,0.0270375
1.3050e-01,0.0262844
1.3054e-01,0.0268594
1.3057e-01,0.0259719
1.3060e-01,0.0271375
1.3063e-01,0.0261437
1.3066e-01,0.0256406
1.3070e-01,0.0252187
1.3073e-01,0.0262219
1.3076e-01,0.0272062
1.3079e-01,0.0267062
1.3082e-01,0.0260969
1.3086e-01,0.0258187
1.3089e-01,0.0254625
1.3092e-01,0.0252875
1.3095e-01,0.0254562
1.3098e-01,0.0252562
1.3102e-01,0.0265844
1.3105e-01,0.0265406
1.3108e-01,0.027
1.3111e-01,0.0263687
1.3114e-01,0.0255687
1.3118e-01,0.0240312
1.3121e-01,0.024775
1.3124e-01,0.026625
1.3127e-01,0.0265844
1.3130e-01,0.0268
1.3134e-01,0.0261812
1.3137e-01,0.0267312
1.3140e-01,0.0264844
1.3143e-01,0.0262969
1.3146e-01,0.0254156
1.3150e-01,0.0248719
1.3153e-01,0.0259156
1.3156e-01,0.0255094
1.3159e-01,0.0264094
1.3162e-01,0.025975
1.3166e-01,0.0254562
1.3169e-01,0.0263
1.3172e-01,0.0265281
1.3175e-01,0.0271312
1.3178e-01,0.0266719
1.3182e-01,0.0269375
1.3185e-01,0.0266687
1.3188e-01,0.0271656
1.3191e-01,0.0271437
1.3194e-01,0.0275687
1.3198e-01,0.027075
1.3201e-01,0.0262781
1.3204e-01,0.0258344
1.3207e-01,0.0250656
1.3210e-01,0.0242937
1.3214e-01,0.0247125
1.3217e-01,0.0266031
1.3220e-01,0.0269812
1.3223e-01,0.0275156
1.3226e-01,0.0268969
1.3230e-01,0.0256781
1.3233e-01,0.02555
1.3236e-01,0.0262875
1.3239e-01,0.0273187
1.3242e-01,0.0278344
1.3246e-01,0.0270844
1.3249e-01,0.0272125
1.3252e-01,0.0259469
1.3255e-01,0.0261062
1.3258e-01,0.027175
1.3262e-01,0.0278469
1.3265e-01,0.0283656
1.3268e-01,0.0270562
1.3271e-01,0.02745
1.3274e-01,0.0289
1.3278e-01,0.029025
1.3281e-01,0.0286844
1.3284e-01,0.02905
1.3287e-01,0.0269875
1.3290e-01,0.0283
1.3294e-01,0.0289094
1.3297e-01,0.0279437
1.3300e-01,0.0271437
1.3303e-01,0.0261281
1.3306e-01,0.0273031
1.3310e-01,0.0280562
1.3313e-01,0.0288562
1.3316e-01,0.0284406
1.3319e-01,0.0288594
1.3322e-01,0.0282562
1.3326e-01,0.0287281
1.3329e-01,0.0290031
1.3332e-01,0.0306469
1.3335e-01,0.0312187
1.3338e-01,0.0307
1.3342e-01,0.0316656
1.3345e-01,0.0296187
1.3348e-01,0.02895
1.3351e-01,0.0282906
1.3354e-01,0.0285062
1.3358e-01,0.0287844
1.3361e-01,0.0283281
1.3364e-01,0.0283656
1.3367e-01,0.0298219
1.3370e-01,0.0290562
1.3374e-01,0.0285156
1.3377e-01,0.0289594
1.3380e-01,0.0298375
1.3383e-01,0.0314531
1.3386e-01,0.031
1.3390e-01,0.0305
1.3393e-01,0.0295625
1.3396e-01,0.0298156
1.3399e-01,0.0302219
1.3402e-01,0.0305375
1.3406e-01,0.0315375
1.3409e-01,0.0322812
1.3412e-01,0.031075
1.3415e-01,0.0323687
1.3418e-01,0.0322406
1.3422e-01,0.0329344
1.3425e-01,0.0347656
1.3428e-01,0.0345562
1.3431e-01,0.0342156
1.3434e-01,0.0351781
1.3438e-01,0.0353937
1.3441e-01,0.0341937
1.3444e-01,0.0339531
1.3447e-01,0.0335906
1.3450e-01,0.035075
1.3454e-01,0.0344781
1.3457e-01,0.0336062
1.3460e-01,0.033175
1.3463e-01,0.0322094
1.3466e-01,0.03355
1.3470e-01,0.0342031
1.3473e-01,0.0352437
1.3476e-01,0.0359844
1.3479e-01,0.0375312
1.3482e-01,0.0391906
1.3486e-01,0.0394344
1.3489e-01,0.03955
1.3492e-01,0.038725
1.3495e-01,0.0390437
1.3498e-01,0.0389219
1.3502e-01,0.0393906
1.3505e-01,0.0390781
1.3508e-01,0.0396906
1.3511e-01,0.0414906
1.3514e-01,0.0446375
1.3518e-01,0.0436719
1.3521e-01,0.0426687
1.3524e-01,0.0439781
1.3527e-01,0.0446937
1.3530e-01,0.045125
1.3534e-01,0.045075
1.3537e-01,0.0427375
1.3540e-01,0.0461125
1.3543e-01,0.0460469
1.3546e-01,0.0464781
1.3550e-01,0.046575
1.3553e-01,0.0449469
1.3556e-01,0.0457375
1.3559e-01,0.0465156
1.3562e-01,0.045475
1.3566e-01,0.0469812
1.3569e-01,0.0459187
1.3572e-01,0.047075
1.3575e-01,0.0462344
1.3578e-01,0.0448906
1.3582e-01,0.0422437
1.3585e-01,0.0432781
1.3588e-01,0.0458437
1.3591e-01,0.0427156
1.3594e-01,0.0408594
1.3598e-01,0.040425
1.3601e-01,0.0391219
1.3604e-01,0.0382375
1.3607e-01,0.0375562
1.3610e-01,0.037075
1.3614e-01,0.0356906
1.3617e-01,0.0349062
1.3620e-01,0.0349125
1.3623e-01,0.0350656
1.3626e-01,0.035225
1.3630e-01,0.0352969
1.3633e-01,0.0349594
1.3636e-01,0.0341781
1.3639e-01,0.0318562
1.3642e-01,0.0318594
1.3646e-01,0.0325187
1.3649e-01,0.0316
1.3652e-01,0.0312406
1.3655e-01,0.0300312
1.3658e-01,0.0280281
1.3662e-01,0.0297844
1.3665e-01,0.0289281
1.3668e-01,0.0276469
1.3671e-01,0.0277687
1.3674e-01,0.026925
1.3678e-01,0.0278406
