Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
1.3557e-01,0.0420937
1.3560e-01,0.0434375
1.3563e-01,0.042
1.3566e-01,0.0427187
1.3570e-01,0.041125
1.3573e-01,0.0394062
1.3576e-01,0.040625
1.3579e-01,0.0386875
1.3582e-01,0.0394375
1.3586e-01,0.0389687
1.3589e-01,0.0399062
1.3592e-01,0.0408437
1.3595e-01,0.039125
1.3598e-01,0.0394687
1.3602e-01,0.0384687
1.3605e-01,0.0378437
1.3608e-01,0.0403437
1.3611e-01,0.0375625
1.3614e-01,0.0372812
1.3618e-01,0.0380937
1.3621e-01,0.037375
1.3624e-01,0.0365312
1.3627e-01,0.03775
1.3630e-01,0.0413125
1.3634e-01,0.0389375
1.3637e-01,0.0394687
1.3640e-01,0.0414375
1.3643e-01,0.04175
1.3646e-01,0.0414687
1.3650e-01,0.0394687
1.3653e-01,0.0364687
1.3656e-01,0.0372812
1.3659e-01,0.0352187
1.3662e-01,0.03675
1.3666e-01,0.038375
1.3669e-01,0.0378125
1.3672e-01,0.03775
1.3675e-01,0.03725
1.3678e-01,0.03725
1.3682e-01,0.0368125
1.3685e-01,0.038
1.3688e-01,0.0368125
1.3691e-01,0.040375
1.3694e-01,0.0414062
1.3698e-01,0.0424375
1.3701e-01,0.0413125
1.3704e-01,0.0410312
1.3707e-01,0.0418437
1.3710e-01,0.0395937
1.3714e-01,0.038625
1.3717e-01,0.037875
1.3720e-01,0.0380312
1.3723e-01,0.038375
1.3726e-01,0.0373125
1.3730e-01,0.042
1.3733e-01,0.0425312
1.3736e-01,0.0437812
1.3739e-01,0.0429062
1.3742e-01,0.0427187
1.3746e-01,0.0415937
1.3749e-01,0.041375
1.3752e-01,0.0423125
1.3755e-01,0.0435
1.3758e-01,0.0435937
1.3762e-01,0.045875
1.3765e-01,0.0431875
1.3768e-01,0.0432812
1.3771e-01,0.0461562
1.3774e-01,0.0464687
1.3778e-01,0.0453125
1.3781e-01,0.045
1.3784e-01,0.0450312
1.3787e-01,0.0455625
1.3790e-01,0.0464062
1.3794e-01,0.0458125
1.3797e-01,0.0467187
1.3800e-01,0.05
1.3803e-01,0.0529062
1.3806e-01,0.0525
1.3810e-01,0.050625
1.3813e-01,0.0508437
1.3816e-01,0.04725
1.3819e-01,0.0475937
1.3822e-01,0.0514687
1.3826e-01,0.053375
1.3829e-01,0.0519375
1.3832e-01,0.052625
1.3835e-01,0.052875
1.3838e-01,0.0504062
1.3842e-01,0.0505937
1.3845e-01,0.0505312
1.3848e-01,0.0527187
1.3851e-01,0.0498437
1.3854e-01,0.0485625
1.3858e-01,0.0495
1.3861e-01,0.051
1.3864e-01,0.0503437
1.3867e-01,0.0503125
1.3870e-01,0.0484687
1.3874e-01,0.0529062
1.3877e-01,0.0568125
1.3880e-01,0.0524375
1.3883e-01,0.0509375
1.3886e-01,0.0528437
1.3890e-01,0.0530312
1.3893e-01,0.0544375
1.3896e-01,0.0514062
1.3899e-01,0.0584687
1.3902e-01,0.0614062
1.3906e-01,0.0629687
1.3909e-01,0.059
1.3912e-01,0.0604375
1.3915e-01,0.0610625
1.3918e-01,0.0613125
1.3922e-01,0.0615625
1.3925e-01,0.063125
1.3928e-01,0.063125
1.3931e-01,0.0615312
1.3934e-01,0.0615937
1.3938e-01,0.0601562
1.3941e-01,0.0584375
1.3944e-01,0.0606875
1.3947e-01,0.0627187
1.3950e-01,0.068875
1.3954e-01,0.0701562
1.3957e-01,0.0704687
1.3960e-01,0.0731875
1.3963e-01,0.0750312
1.3966e-01,0.0781562
1.3970e-01,0.0778125
1.3973e-01,0.080625
1.3976e-01,0.08125
1.3979e-01,0.0871562
1.3982e-01,0.0928437
1.3986e-01,0.0915
1.3989e-01,0.0929062
1.3992e-01,0.101187
1.3995e-01,0.105687
1.3998e-01,0.110781
1.4002e-01,0.111531
1.4005e-01,0.114437
1.4008e-01,0.124375
1.4011e-01,0.127969
1.4014e-01,0.129937
1.4018e-01,0.133969
1.4021e-01,0.140594
1.4024e-01,0.162062
1.4027e-01,0.164625
1.4030e-01,0.176906
1.4034e-01,0.186906
1.4037e-01,0.201375
1.4040e-01,0.205281
1.4043e-01,0.214125
1.4046e-01,0.223375
1.4050e-01,0.236875
1.4053e-01,0.239937
1.4056e-01,0.244562
1.4059e-01,0.252937
1.4062e-01,0.27125
1.4066e-01,0.284187
1.4069e-01,0.283906
1.4072e-01,0.285875
1.4075e-01,0.286562
1.4078e-01,0.275625
1.4082e-01,0.266437
1.4085e-01,0.267656
1.4088e-01,0.265406
1.4091e-01,0.256906
1.4094e-01,0.24175
1.4098e-01,0.227125
1.4101e-01,0.22075
1.4104e-01,0.208375
1.4107e-01,0.202812
1.4110e-01,0.189312
1.4114e-01,0.187125
1.4117e-01,0.185625
1.4120e-01,0.189719
1.4123e-01,0.188156
1.4126e-01,0.192437
1.4130e-01,0.191312
1.4133e-01,0.204969
1.4136e-01,0.214437
1.4139e-01,0.221219
1.4142e-01,0.231187
1.4146e-01,0.230625
1.4149e-01,0.227437
1.4152e-01,0.243656
1.4155e-01,0.248562
1.4158e-01,0.250969
1.4162e-01,0.258375
1.4165e-01,0.266781
1.4168e-01,0.2775
1.4171e-01,0.293719
1.4174e-01,0.298781
1.4178e-01,0.303656
1.4181e-01,0.303937
1.4184e-01,0.322625
1.4187e-01,0.356125
1.4190e-01,0.375344
1.4194e-01,0.410344
1.4197e-01,0.446125
1.4200e-01,0.461312
1.4203e-01,0.503375
1.4206e-01,0.532375
1.4210e-01,0.568219
1.4213e-01,0.605344
1.4216e-01,0.652594
1.4219e-01,0.705687
1.4222e-01,0.756625
1.4226e-01,0.80375
1.4229e-01,0.844344
1.4232e-01,0.884625
1.4235e-01,0.927469
1.4238e-01,0.966625
1.4242e-01,0.999812
1.4245e-01,1.02019
1.4248e-01,1.03166
1.4251e-01,1.04862
1.4254e-01,1.04456
1.4258e-01,1.05491
1.4261e-01,1.06475
1.4264e-01,1.04666
1.4267e-01,1.02287
1.4270e-01,0.995219
1.4274e-01,0.943031
1.4277e-01,0.89725
1.4280e-01,0.853531
1.4283e-01,0.797937
1.4286e-01,0.760937
1.4290e-01,0.723937
1.4293e-01,0.677469
1.4296e-01,0.632875
1.4299e-01,0.572156
1.4302e-01,0.543781
1.4306e-01,0.5105
1.4309e-01,0.496187
1.4312e-01,0.47675
1.4315e-01,0.479281
1.4318e-01,0.445437
1.4322e-01,0.429906
1.4325e-01,0.434281
1.4328e-01,0.423687
1.4331e-01,0.415187
1.4334e-01,0.415187
1.4338e-01,0.410469
1.4341e-01,0.415937
1.4344e-01,0.420844
1.4347e-01,0.421562
1.4350e-01,0.420125
1.4354e-01,0.4245
1.4357e-01,0.428437
1.4360e-01,0.436906
1.4363e-01,0.45725
1.4366e-01,0.45925
1.4370e-01,0.463406
1.4373e-01,0.47375
1.4376e-01,0.4875
1.4379e-01,0.515375
1.4382e-01,0.552375
1.4386e-01,0.554781
1.4389e-01,0.573344
1.4392e-01,0.583
1.4395e-01,0.596
1.4398e-01,0.622969
1.4402e-01,0.639969
1.4405e-01,0.666531
1.4408e-01,0.674125
1.4411e-01,0.731
1.4414e-01,0.736469
1.4418e-01,0.770937
1.4421e-01,0.822187
1.4424e-01,0.835031
1.4427e-01,0.873812
1.4430e-01,0.919562
1.4434e-01,0.969937
1.4437e-01,0.995156
1.4440e-01,1.04878
1.4443e-01,1.08841
1.4446e-01,1.14728
1.4450e-01,1.1995
1.4453e-01,1.22775
1.4456e-01,1.27669
1.4459e-01,1.31812
1.4462e-01,1.35787
1.4466e-01,1.37528
1.4469e-01,1.37259
1.4472e-01,1.379
1.4475e-01,1.40322
1.4478e-01,1.39509
1.4482e-01,1.37781
1.4485e-01,1.36322
1.4488e-01,1.35584
1.4491e-01,1.31666
1.4494e-01,1.26859
1.4498e-01,1.22925
1.4501e-01,1.17331
1.4504e-01,1.10047
1.4507e-01,1.02209
1.4510e-01,0.9365
1.4514e-01,0.855531
1.4517e-01,0.77325
1.4520e-01,0.70625
1.4523e-01,0.633906
1.4526e-01,0.577094
1.4530e-01,0.524375
1.4533e-01,0.476281
1.4536e-01,0.444031
1.4539e-01,0.418594
1.4542e-01,0.391125
1.4546e-01,0.370312
1.4549e-01,0.34825
1.4552e-01,0.341625
1.4555e-01,0.33875
1.4558e-01,0.342437
1.4562e-01,0.347219
1.4565e-01,0.347
1.4568e-01,0.356187
1.4571e-01,0.372875
1.4574e-01,0.378312
1.4578e-01,0.386187
1.4581e-01,0.384812
1.4584e-01,0.377344
1.4587e-01,0.368344
1.4590e-01,0.371687
1.4594e-01,0.366281
1.4597e-01,0.361687
1.4600e-01,0.360594
1.4603e-01,0.35175
1.4606e-01,0.350187
1.4610e-01,0.342625
1.4613e-01,0.33525
1.4616e-01,0.339812
1.4619e-01,0.344156
1.4622e-01,0.346875
