Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
1.2881e-01,0.0305406
1.2884e-01,0.0292937
1.2887e-01,0.0283844
1.2890e-01,0.0301094
1.2894e-01,0.03
1.2897e-01,0.030125
1.2900e-01,0.0301469
1.2903e-01,0.0309906
1.2906e-01,0.0311562
1.2910e-01,0.0315687
1.2913e-01,0.0326031
1.2916e-01,0.031825
1.2919e-01,0.0315031
1.2922e-01,0.0298094
1.2926e-01,0.0296687
1.2929e-01,0.0304062
1.2932e-01,0.0317219
1.2935e-01,0.0330812
1.2938e-01,0.032625
1.2942e-01,0.0334937
1.2945e-01,0.0334312
1.2948e-01,0.0338062
1.2951e-01,0.0342031
1.2954e-01,0.03545
1.2958e-01,0.034875
1.2961e-01,0.034375
1.2964e-01,0.0353844
1.2967e-01,0.0341594
1.2970e-01,0.0339969
1.2974e-01,0.0339844
1.2977e-01,0.0352937
1.2980e-01,0.0349969
1.2983e-01,0.0352062
1.2986e-01,0.0360969
1.2990e-01,0.0361406
1.2993e-01,0.0363812
1.2996e-01,0.0355844
1.2999e-01,0.0368125
1.3002e-01,0.0377969
1.3006e-01,0.0379625
1.3009e-01,0.0384406
1.3012e-01,0.0382656
1.3015e-01,0.0407031
1.3018e-01,0.0419469
1.3022e-01,0.0409531
1.3025e-01,0.0406781
1.3028e-01,0.0418719
1.3031e-01,0.0424469
1.3034e-01,0.041525
1.3038e-01,0.0446156
1.3041e-01,0.0441219
1.3044e-01,0.0440406
1.3047e-01,0.046275
1.3050e-01,0.046925
1.3054e-01,0.0471656
1.3057e-01,0.0456125
1.3060e-01,0.0455687
1.3063e-01,0.0453687
1.3066e-01,0.0469375
1.3070e-01,0.0466531
1.3073e-01,0.0474281
1.3076e-01,0.0501344
1.3079e-01,0.050075
1.3082e-01,0.0505375
1.3086e-01,0.0523344
1.3089e-01,0.0537625
1.3092e-01,0.05425
1.3095e-01,0.0534719
1.3098e-01,0.0548719
1.3102e-01,0.0548031
1.3105e-01,0.0541031
1.3108e-01,0.0543187
1.3111e-01,0.0555469
1.3114e-01,0.0578875
1.3118e-01,0.0604187
1.3121e-01,0.0608844
1.3124e-01,0.0602687
1.3127e-01,0.0628844
1.3130e-01,0.0642281
1.3134e-01,0.0646562
1.3137e-01,0.0648687
1.3140e-01,0.0653
1.3143e-01,0.0663937
1.3146e-01,0.0671312
1.3150e-01,0.0674656
1.3153e-01,0.0687625
1.3156e-01,0.0688156
1.3159e-01,0.0666531
1.3162e-01,0.0639281
1.3166e-01,0.0633125
1.3169e-01,0.0655531
1.3172e-01,0.0651062
1.3175e-01,0.06255
1.3178e-01,0.0629406
1.3182e-01,0.0641687
1.3185e-01,0.0648187
1.3188e-01,0.0654719
1.3191e-01,0.0641062
1.3194e-01,0.0635187
1.3198e-01,0.064675
1.3201e-01,0.0627062
1.3204e-01,0.0618
1.3207e-01,0.0614375
1.3210e-01,0.0578875
1.3214e-01,0.0567875
1.3217e-01,0.0563656
1.3220e-01,0.0560531
1.3223e-01,0.0545969
1.3226e-01,0.0511719
1.3230e-01,0.0488625
1.3233e-01,0.0500437
1.3236e-01,0.0483844
1.3239e-01,0.0459594
1.3242e-01,0.0451312
1.3246e-01,0.0469531
1.3249e-01,0.0463
1.3252e-01,0.0440687
1.3255e-01,0.0422719
1.3258e-01,0.0423875
1.3262e-01,0.0411812
1.3265e-01,0.0402187
1.3268e-01,0.0392531
1.3271e-01,0.0383219
1.3274e-01,0.0363969
1.3278e-01,0.0357719
1.3281e-01,0.0346687
1.3284e-01,0.0357469
1.3287e-01,0.0343062
1.3290e-01,0.0340719
1.3294e-01,0.0331406
1.3297e-01,0.032825
1.3300e-01,0.0321094
1.3303e-01,0.0324875
1.3306e-01,0.03205
1.3310e-01,0.0306156
1.3313e-01,0.0305781
1.3316e-01,0.0306625
1.3319e-01,0.0327062
1.3322e-01,0.0312906
1.3326e-01,0.0292469
1.3329e-01,0.0286344
1.3332e-01,0.028025
1.3335e-01,0.0273969
1.3338e-01,0.0272812
1.3342e-01,0.0278937
1.3345e-01,0.029
1.3348e-01,0.0277687
1.3351e-01,0.0277719
1.3354e-01,0.0271687
1.3358e-01,0.0268312
1.3361e-01,0.0262281
1.3364e-01,0.0271406
1.3367e-01,0.0273906
1.3370e-01,0.0266094
1.3374e-01,0.0260687
1.3377e-01,0.0265156
1.3380e-01,0.0266969
1.3383e-01,0.0261875
1.3386e-01,0.026275
1.3390e-01,0.0254531
1.3393e-01,0.0250094
1.3396e-01,0.0253125
1.3399e-01,0.0248125
1.3402e-01,0.0250937
1.3406e-01,0.0249562
1.3409e-01,0.0252062
1.3412e-01,0.02405
1.3415e-01,0.0239969
1.3418e-01,0.0247875
1.3422e-01,0.024775
1.3425e-01,0.0254281
1.3428e-01,0.02505
1.3431e-01,0.0248531
1.3434e-01,0.0238812
1.3438e-01,0.0234531
1.3441e-01,0.0240031
1.3444e-01,0.02455
1.3447e-01,0.0250156
1.3450e-01,0.0239844
1.3454e-01,0.0245
1.3457e-01,0.0250344
1.3460e-01,0.0254062
1.3463e-01,0.0258437
1.3466e-01,0.0269437
1.3470e-01,0.0261531
1.3473e-01,0.0249125
1.3476e-01,0.0246656
1.3479e-01,0.0249062
1.3482e-01,0.024875
1.3486e-01,0.0243156
1.3489e-01,0.0251906
1.3492e-01,0.0250437
1.3495e-01,0.0245344
1.3498e-01,0.0252562
1.3502e-01,0.0249125
1.3505e-01,0.0256562
1.3508e-01,0.0246656
1.3511e-01,0.0247281
1.3514e-01,0.0248187
1.3518e-01,0.0246375
1.3521e-01,0.02535
1.3524e-01,0.02465
1.3527e-01,0.0247031
1.3530e-01,0.0267281
1.3534e-01,0.0265375
1.3537e-01,0.0255531
1.3540e-01,0.0249562
1.3543e-01,0.0238562
1.3546e-01,0.024625
1.3550e-01,0.0249562
1.3553e-01,0.025725
1.3556e-01,0.0247406
1.3559e-01,0.0248594
1.3562e-01,0.0238562
1.3566e-01,0.0242469
1.3569e-01,0.0246219
1.3572e-01,0.0256656
1.3575e-01,0.0253312
1.3578e-01,0.024375
1.3582e-01,0.0249281
1.3585e-01,0.0250625
1.3588e-01,0.0255937
1.3591e-01,0.0261437
1.3594e-01,0.0257906
1.3598e-01,0.0246469
1.3601e-01,0.0246969
1.3604e-01,0.0256062
1.3607e-01,0.0249156
1.3610e-01,0.0246031
1.3614e-01,0.0245594
1.3617e-01,0.0244469
1.3620e-01,0.0251062
1.3623e-01,0.0248437
1.3626e-01,0.02485
1.3630e-01,0.0241719
1.3633e-01,0.0253969
1.3636e-01,0.0256531
1.3639e-01,0.0263469
1.3642e-01,0.0260812
1.3646e-01,0.0271312
1.3649e-01,0.0265594
1.3652e-01,0.027275
1.3655e-01,0.02685
1.3658e-01,0.0256594
1.3662e-01,0.0254594
1.3665e-01,0.0240156
1.3668e-01,0.0254
1.3671e-01,0.0246844
1.3674e-01,0.0244812
1.3678e-01,0.0250875
1.3681e-01,0.0240375
1.3684e-01,0.0240469
1.3687e-01,0.0239687
1.3690e-01,0.0238187
1.3694e-01,0.0241937
1.3697e-01,0.0244281
1.3700e-01,0.0241281
1.3703e-01,0.0236656
1.3706e-01,0.0243687
1.3710e-01,0.0234781
1.3713e-01,0.0241562
1.3716e-01,0.0232094
1.3719e-01,0.024525
1.3722e-01,0.0242812
1.3726e-01,0.0232625
1.3729e-01,0.0232125
