Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
1.3544e-01,0.0464375
1.3547e-01,0.0487656
1.3550e-01,0.0494219
1.3554e-01,0.0511875
1.3557e-01,0.0530625
1.3560e-01,0.0559063
1.3563e-01,0.0559219
1.3566e-01,0.057125
1.3570e-01,0.0598281
1.3573e-01,0.0607969
1.3576e-01,0.0610156
1.3579e-01,0.0615938
1.3582e-01,0.0616719
1.3586e-01,0.0599688
1.3589e-01,0.0576719
1.3592e-01,0.0555156
1.3595e-01,0.0540156
1.3598e-01,0.0521094
1.3602e-01,0.0493438
1.3605e-01,0.0467656
1.3608e-01,0.0435
1.3611e-01,0.0414375
1.3614e-01,0.038625
1.3618e-01,0.0369531
1.3621e-01,0.0351563
1.3624e-01,0.0338125
1.3627e-01,0.0328125
1.3630e-01,0.0302031
1.3634e-01,0.0300781
1.3637e-01,0.0284219
1.3640e-01,0.0285625
1.3643e-01,0.0279219
1.3646e-01,0.0281719
1.3650e-01,0.028625
1.3653e-01,0.0284688
1.3656e-01,0.0294063
1.3659e-01,0.0292656
1.3662e-01,0.0310469
1.3666e-01,0.0322188
1.3669e-01,0.0329219
1.3672e-01,0.0336406
1.3675e-01,0.0350313
1.3678e-01,0.0364375
1.3682e-01,0.0382969
1.3685e-01,0.0400625
1.3688e-01,0.0409844
1.3691e-01,0.041375
1.3694e-01,0.04175
1.3698e-01,0.0444219
1.3701e-01,0.044625
1.3704e-01,0.0469219
1.3707e-01,0.0498125
1.3710e-01,0.0537188
1.3714e-01,0.0563906
1.3717e-01,0.0589219
1.3720e-01,0.0625625
1.3723e-01,0.0654063
1.3726e-01,0.0675313
1.3730e-01,0.0719063
1.3733e-01,0.0767969
1.3736e-01,0.0797344
1.3739e-01,0.0839375
1.3742e-01,0.0887813
1.3746e-01,0.0935313
1.3749e-01,0.0982188
1.3752e-01,0.102969
1.3755e-01,0.105453
1.3758e-01,0.109172
1.3762e-01,0.113219
1.3765e-01,0.114531
1.3768e-01,0.11775
1.3771e-01,0.117328
1.3774e-01,0.119969
1.3778e-01,0.119531
1.3781e-01,0.121141
1.3784e-01,0.119563
1.3787e-01,0.117344
1.3790e-01,0.115047
1.3794e-01,0.113016
1.3797e-01,0.110313
1.3800e-01,0.105359
1.3803e-01,0.100297
1.3806e-01,0.0950625
1.3810e-01,0.091375
1.3813e-01,0.086875
1.3816e-01,0.084375
1.3819e-01,0.0825313
1.3822e-01,0.0788594
1.3826e-01,0.0755156
1.3829e-01,0.0742656
1.3832e-01,0.0700781
1.3835e-01,0.0692188
1.3838e-01,0.0677656
1.3842e-01,0.0655781
1.3845e-01,0.0653281
1.3848e-01,0.0654688
1.3851e-01,0.0644063
1.3854e-01,0.0626406
1.3858e-01,0.0617813
1.3861e-01,0.0614219
1.3864e-01,0.0636875
1.3867e-01,0.0637188
1.3870e-01,0.0653594
1.3874e-01,0.0654531
1.3877e-01,0.0653125
1.3880e-01,0.0655313
1.3883e-01,0.0663125
1.3886e-01,0.068375
1.3890e-01,0.070125
1.3893e-01,0.0733125
1.3896e-01,0.0771875
1.3899e-01,0.0806094
1.3902e-01,0.0840313
1.3906e-01,0.0891406
1.3909e-01,0.0967188
1.3912e-01,0.101438
1.3915e-01,0.108344
1.3918e-01,0.116375
1.3922e-01,0.123438
1.3925e-01,0.132188
1.3928e-01,0.137844
1.3931e-01,0.146859
1.3934e-01,0.157797
1.3938e-01,0.169172
1.3941e-01,0.180031
1.3944e-01,0.194203
1.3947e-01,0.203453
1.3950e-01,0.216859
1.3954e-01,0.226781
1.3957e-01,0.238313
1.3960e-01,0.249891
1.3963e-01,0.258984
1.3966e-01,0.269969
1.3970e-01,0.279031
1.3973e-01,0.280438
1.3976e-01,0.283922
1.3979e-01,0.287109
1.3982e-01,0.286781
1.3986e-01,0.283734
1.3989e-01,0.281281
1.3992e-01,0.271922
1.3995e-01,0.26075
1.3998e-01,0.2485
1.4002e-01,0.237234
1.4005e-01,0.221297
1.4008e-01,0.205766
1.4011e-01,0.191781
1.4014e-01,0.177219
1.4018e-01,0.163141
1.4021e-01,0.14975
1.4024e-01,0.136703
1.4027e-01,0.127219
1.4030e-01,0.116969
1.4034e-01,0.107406
1.4037e-01,0.0986563
1.4040e-01,0.0927188
1.4043e-01,0.0857188
1.4046e-01,0.0827656
1.4050e-01,0.0766875
1.4053e-01,0.0726094
1.4056e-01,0.0685781
1.4059e-01,0.0661719
1.4062e-01,0.0649688
1.4066e-01,0.0662344
1.4069e-01,0.0628438
1.4072e-01,0.0619844
1.4075e-01,0.0620156
1.4078e-01,0.0619531
1.4082e-01,0.0609063
1.4085e-01,0.0596094
1.4088e-01,0.062125
1.4091e-01,0.0634219
1.4094e-01,0.0647656
1.4098e-01,0.0659844
1.4101e-01,0.0692031
1.4104e-01,0.07075
1.4107e-01,0.0760625
1.4110e-01,0.0814688
1.4114e-01,0.0865625
1.4117e-01,0.0928281
1.4120e-01,0.0991875
1.4123e-01,0.103578
1.4126e-01,0.112844
1.4130e-01,0.119859
1.4133e-01,0.126875
1.4136e-01,0.136906
1.4139e-01,0.147406
1.4142e-01,0.156563
1.4146e-01,0.165125
1.4149e-01,0.173094
1.4152e-01,0.179891
1.4155e-01,0.186859
1.4158e-01,0.194594
1.4162e-01,0.200813
1.4165e-01,0.206969
1.4168e-01,0.207719
1.4171e-01,0.210422
1.4174e-01,0.2075
1.4178e-01,0.207063
1.4181e-01,0.205375
1.4184e-01,0.201969
1.4187e-01,0.197734
1.4190e-01,0.193672
