Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
1.3489e-01,0.233156
1.3492e-01,0.231656
1.3495e-01,0.232562
1.3498e-01,0.227719
1.3502e-01,0.226
1.3505e-01,0.22275
1.3508e-01,0.217687
1.3511e-01,0.215469
1.3514e-01,0.209719
1.3518e-01,0.202687
1.3521e-01,0.202344
1.3524e-01,0.197094
1.3527e-01,0.191437
1.3530e-01,0.184469
1.3534e-01,0.181219
1.3537e-01,0.175344
1.3540e-01,0.166344
1.3543e-01,0.160906
1.3546e-01,0.153094
1.3550e-01,0.146312
1.3553e-01,0.141469
1.3556e-01,0.138187
1.3559e-01,0.131781
1.3562e-01,0.127531
1.3566e-01,0.126812
1.3569e-01,0.125344
1.3572e-01,0.12425
1.3575e-01,0.119969
1.3578e-01,0.123281
1.3582e-01,0.121562
1.3585e-01,0.121969
1.3588e-01,0.125781
1.3591e-01,0.127031
1.3594e-01,0.132344
1.3598e-01,0.137219
1.3601e-01,0.143125
1.3604e-01,0.146094
1.3607e-01,0.150219
1.3610e-01,0.157406
1.3614e-01,0.16225
1.3617e-01,0.169844
1.3620e-01,0.175812
1.3623e-01,0.180469
1.3626e-01,0.187219
1.3630e-01,0.194531
1.3633e-01,0.203406
1.3636e-01,0.204844
1.3639e-01,0.212844
1.3642e-01,0.221844
1.3646e-01,0.228406
1.3649e-01,0.236875
1.3652e-01,0.245781
1.3655e-01,0.248687
1.3658e-01,0.258562
1.3662e-01,0.269719
1.3665e-01,0.267906
1.3668e-01,0.270656
1.3671e-01,0.278969
1.3674e-01,0.274812
1.3678e-01,0.28125
1.3681e-01,0.285094
1.3684e-01,0.287812
1.3687e-01,0.280344
1.3690e-01,0.277812
1.3694e-01,0.276531
1.3697e-01,0.276531
1.3700e-01,0.273062
1.3703e-01,0.268906
1.3706e-01,0.257312
1.3710e-01,0.248875
1.3713e-01,0.249312
1.3716e-01,0.248625
1.3719e-01,0.243531
1.3722e-01,0.234187
1.3726e-01,0.228719
1.3729e-01,0.225281
1.3732e-01,0.220687
1.3735e-01,0.211156
1.3738e-01,0.202625
1.3742e-01,0.194344
1.3745e-01,0.190656
1.3748e-01,0.190719
1.3751e-01,0.195094
1.3754e-01,0.189062
1.3758e-01,0.185594
1.3761e-01,0.185875
1.3764e-01,0.186031
1.3767e-01,0.186812
1.3770e-01,0.185062
1.3774e-01,0.189875
1.3777e-01,0.193219
1.3780e-01,0.191344
1.3783e-01,0.199187
1.3786e-01,0.207312
1.3790e-01,0.216562
1.3793e-01,0.218812
1.3796e-01,0.217812
1.3799e-01,0.219781
1.3802e-01,0.229406
1.3806e-01,0.23575
1.3809e-01,0.246375
1.3812e-01,0.254156
1.3815e-01,0.263187
1.3818e-01,0.27125
1.3822e-01,0.281875
1.3825e-01,0.2865
1.3828e-01,0.292875
1.3831e-01,0.298281
1.3834e-01,0.315562
1.3838e-01,0.321469
1.3841e-01,0.337594
1.3844e-01,0.352375
1.3847e-01,0.371875
1.3850e-01,0.385031
1.3854e-01,0.398125
1.3857e-01,0.418062
1.3860e-01,0.437812
1.3863e-01,0.458594
1.3866e-01,0.481469
1.3870e-01,0.496937
1.3873e-01,0.515656
1.3876e-01,0.522937
1.3879e-01,0.5375
1.3882e-01,0.558406
1.3886e-01,0.574656
1.3889e-01,0.584125
1.3892e-01,0.587594
1.3895e-01,0.588969
1.3898e-01,0.600406
1.3902e-01,0.6055
1.3905e-01,0.600656
1.3908e-01,0.600594
1.3911e-01,0.597
1.3914e-01,0.594687
1.3918e-01,0.573969
1.3921e-01,0.567281
1.3924e-01,0.558719
1.3927e-01,0.544062
1.3930e-01,0.525031
1.3934e-01,0.506312
1.3937e-01,0.486937
1.3940e-01,0.465
1.3943e-01,0.451656
1.3946e-01,0.433312
1.3950e-01,0.41575
1.3953e-01,0.413719
1.3956e-01,0.397344
1.3959e-01,0.3805
1.3962e-01,0.361156
1.3966e-01,0.353906
1.3969e-01,0.337719
1.3972e-01,0.327031
1.3975e-01,0.321094
1.3978e-01,0.315812
1.3982e-01,0.315312
1.3985e-01,0.312906
1.3988e-01,0.312625
1.3991e-01,0.30675
1.3994e-01,0.302406
1.3998e-01,0.302531
1.4001e-01,0.307062
1.4004e-01,0.302062
1.4007e-01,0.29625
1.4010e-01,0.296187
1.4014e-01,0.308781
1.4017e-01,0.304812
1.4020e-01,0.307156
